source,date,text,compound,positive,negative,neutral,ind
BBC,Sat Sep 01 10:04:00 +0000 2018,"🌍🍴 In the UK we're using 16.5 billion pieces of single-use plastic cutlery every year.
#PlasticsAction https://t.co/8L3GWXBbaP",0.0,0.0,0.0,1.0,68
BBC,Sat Sep 01 09:04:02 +0000 2018,"🚰 Why do homes in the UK have separate hot and cold taps?
👉 https://t.co/pxUznxp7K6 https://t.co/N1ShLNy0CS",0.0,0.0,0.0,1.0,69
BBC,Sat Sep 01 07:59:03 +0000 2018,⏳ Is the world running out of sand? https://t.co/n18YThXesW,0.0,0.0,0.0,1.0,70
BBC,Sat Sep 01 07:05:03 +0000 2018,"❤️🐾 So many puppies and kittens will be safer because of this.
#LucysLaw https://t.co/LyF6u8hy2n",0.4215,0.177,0.0,0.823,71
BBC,Fri Aug 31 20:31:05 +0000 2018,"💬👑 The true story of a king who tried to overcome his stutter so he could address the nation. 

The King's Speech |… https://t.co/IT6rHoyP7k",0.2023,0.109,0.078,0.814,72
BBC,Fri Aug 31 18:00:23 +0000 2018,"""I've had three kids and I regret it."" 
😂 @RomeshRanga on the joys of fatherhood. https://t.co/lydyO3oymy",0.1027,0.178,0.156,0.667,73
BBC,Fri Aug 31 15:59:04 +0000 2018,🎢😂 https://t.co/TnwAKXOTxW,0.0,0.0,0.0,1.0,74
BBC,Fri Aug 31 13:04:02 +0000 2018,"One comic fan was so annoyed by the tight costume worn by @Marvel superhero Dust, she redesigned the niqab hero's a… https://t.co/VcdXcOEMAy",-0.4201,0.087,0.193,0.72,75
BBC,Fri Aug 31 12:00:20 +0000 2018,I'll apply for ANY job at this point 🤷‍♀️https://t.co/8OteufwU1C,0.0,0.0,0.0,1.0,76
BBC,Fri Aug 31 11:03:06 +0000 2018,"🎽@BBCThree talked to a 'crop top historian' about the comeback of the male crop top...
Apparently ""fragile masculin… https://t.co/uipbGRcaf6",0.2023,0.096,0.0,0.904,77
